station_prefix_id,prefix,station_name,station_type_id,city_id,city,cod_ibge,latitude,longitude,station_owner,ugrhi_id,ugrhi_name,ugrhi_cod,subugrhi_name,subugrhi_id,subugrhi_cod,transmission_type_name,measurement_gap,param_type,measurement_classification_type_id,public,qtd,value,read_value,max_value,min_value,min_date,max_date
795,633,São Paulo (Córrego Perus - Pç Inácio Dias (PMSP/PR-02)),1,1,São Paulo,3550308,-23.404429,-46.752915,SAISP,7,ALTO TIETÊ,6,Juqueri,72,67,WEBSERVICE,10,,3,True,6,73345.76666666668,,73346.5,73345.2,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
796,1000510,Mauá (Rio Corumbé - Jd. Zaíra),1,453,Mauá,3529401,-23.653057,-46.448729,SAISP,7,ALTO TIETÊ,6,Tamanduateí,76,62,WEBSERVICE,10,,3,True,6,76982.41666666667,,76984.1,76981.1,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
797,1000958,São Paulo (Rio Tamanduateí - Jusante AT -09 Guamiranga),1,1,São Paulo,3550308,-23.589799,-46.588237,SAISP,7,ALTO TIETÊ,6,Tamanduateí,76,62,WEBSERVICE,10,,3,True,6,72408.28333333334,,72409.40000000001,72407.2,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
798,58096000,Jacarei (UHE Santa Branca Jusante),1,193,Jacareí,3524402,-23.3678,-45.8781,ANA,4,PARAÍBA DO SUL,2,entre Us. Sta Branca e jus. do Rio Porangaba,17,22,WEBSERVICE,60,,3,True,1,57588.0,32.01,57588.0,57588.0,2026-03-23T11:00:00.000Z,2026-03-23T11:00:00.000Z
805,3D-016,Extrema (Bairro dos Pires),1,649,Extrema,3125101,-22.870831863979568,-46.363105784809434,SP ÁGUAS,16,MÉDIO PARANAPANEMA,17,Rio Pardo,39,171,WEBSERVICE,10,,3,True,4,202.72500000000002,19.7235,202.8,202.5,2026-03-23T11:00:00.000Z,2026-03-23T11:30:00.000Z
808,3E-144,Cubatão (Cosipa),1,12,Cubatão,3513504,-23.8696222222,-46.3739888889,SP ÁGUAS,2,BAIXADA SANTISTA,7,Rio Cubatão,111,72,WEBSERVICE,10,,3,True,6,38.349999999999994,,38.5,38.3,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
811,2E-055,Caçapava (Parque Moçota),1,321,Caçapava,3508504,-23.078419,-45.710932,SP ÁGUAS,4,PARAÍBA DO SUL,2,entre jus. rio Porangaba e mont. do rib. dos Buenos,16,23,WEBSERVICE,10,,3,True,6,272.93333333333334,,273.4,272.3,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
812,4D-048,Rio Claro (Rio Corumbataí),1,554,Rio Claro,3543907,-22.2946,-47.5704,SAISP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Corumbataí,65,55,WEBSERVICE,10,,3,True,6,55784.299999999996,4.4465,55784.5,55784.1,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
815,4E-034,Salto (Rio Piraí Captação DAE),1,39,Salto,3545209,-23.19064,-47.2343,SAISP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Jundiaí,70,57,WEBSERVICE,10,,3,True,6,123.0,2.7579999999999996,123.10000000000001,122.9,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
816,3E-146,Campo Limpo Paulista (Rio Jundiaí/ Av. André Garcia),1,331,Campo Limpo Paulista,3509601,-23.2087,-46.7602,SAISP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Jundiaí,70,57,WEBSERVICE,10,,3,True,6,148.80000000000004,1.6321666666666665,148.9,148.70000000000002,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
818,2D-066,Cunha (Rio Paraitinga - Estrada de Cunha),1,353,Cunha,3513603,-22.995123,-45.043956,SP ÁGUAS,4,PARAÍBA DO SUL,2,Alto Paraíba (idem outorga),63,21,WEBSERVICE,10,,3,True,6,126.80000000000001,,127.1,126.6,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
820,2E-040,Cunha (Rio Jacuí - Foz),1,353,Cunha,3513603,-23.08840239895073,-45.097256848741715,SP ÁGUAS,4,PARAÍBA DO SUL,2,Alto Paraíba (idem outorga),63,21,WEBSERVICE,10,,3,True,6,144.06666666666666,,144.1,144.0,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
821,2D-028,Lorena (Rio Paraíba do Sul - Piquete),1,447,Lorena,3527207,-22.699945391461704,-45.11931534403657,SP ÁGUAS,4,PARAÍBA DO SUL,2,Baixo Vale (idem outorga),62,24,WEBSERVICE,10,,3,True,6,219.04999999999998,,219.70000000000002,218.4,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
824,3E-165,Embu das Artes (Piscinão RPI-2 Jardim Nova República),1,13,Embu das Artes,3515004,-23.648661884026346,-46.79406510093997,SP ÁGUAS,7,ALTO TIETÊ,6,PinheirosxTietê até Barr. da Penha,77,65,WEBSERVICE,10,,3,True,6,74500.58333333333,,74503.4,74498.1,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
826,3E-157,São Bernardo do Campo (Ribeirão dos Couros - Montante RC-9 Ford - Piscinão),1,88,São Bernardo do Campo,3548708,-23.651580902052043,-46.585394960920205,SP ÁGUAS,7,ALTO TIETÊ,6,Tamanduateí,76,62,WEBSERVICE,10,,3,True,6,73857.91666666667,,73858.3,73857.6,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
828,3E-160,São Bernardo do Campo (Piscinão Ribeirão dos Meninos - Montante RM-9- Faculdade de Medicina),1,88,São Bernardo do Campo,3548708,-23.668881073933907,-46.5531599521637,SP ÁGUAS,7,ALTO TIETÊ,6,Tamanduateí,76,62,WEBSERVICE,10,,3,True,6,74320.23333333334,,74321.0,74318.9,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
832,3E-145,Piracaia (Rio Cachoeira - Centro),1,518,Piracaia,3538600,-23.050044153700586,-46.35889829306078,SP ÁGUAS,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Atibaia,68,51,WEBSERVICE,10,,3,True,6,74.16666666666667,1.3976666666666666,74.4,74.0,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
834,4D-045,Sumaré (Ribeirão Quilombo),1,220,Sumaré,3552403,-22.818952,-47.198449,SAISP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Alto Piracicaba,28,54,WEBSERVICE,10,,3,True,6,166.91666666666666,2.0385000000000004,168.70000000000002,165.7,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
